RAW NG Title,Print Label Title,MES Title,MES Code,TRAY,Group,AB Rule,;; Update : 2018.01.22 (Tray 0=R/J 1=Bin2)(AB Rule 0=R/J 1=AB)
TSP CMR OPEN ,TSP CMR OPEN ,TSP CM OPEN,UST89,1,,1
TSP CS OPEN ,TSP CS OPEN ,TSP CM OPEN,UST89,1,,1
TSP CSR OPEN ,TSP CSR OPEN ,TSP CM OPEN,UST89,1,,1
TSP_OPEN FAIL,TSP_OPEN FAIL,TSP CM OPEN,UST89,1,,1
TSP CM SET OPEN,TSP CM SET OPEN,TSP CM SET,UST96,1,,1
TSP CM RAW OPEN,TSP CM RAW OPEN,TSP CM OPEN,UST89,1,,1
TSP CM AMBIENT OPEN,TSP CM AMBIENT OPEN,TSP CM OPEN,UST89,1,,1
TSP OCA Tilt,TSP OCA Tilt,TSP OCA Tilt,USM8,1,,1
TSP No Display,TSP No Display,TSP COM CMD NG,UST115,1,,1
TSP NOT found,TSP NOT found,TSP COM CMD NG,UST115,1,,1
TSP NOT FOUND!,TSP NOT FOUND!,TSP COM CMD NG,UST115,1,,1
F$34 is not found,F$34 is not found,TSP COM CMD NG,UST115,1,,1
DEVICE NOT FOUND,DEVICE NOT FOUND,TSP COM CMD NG,UST115,1,,1
FTS INITIAL FAIL!,FTS INITIAL FAIL!,TSP COM CMD NG,UST115,1,,1
TSP_NO DATA,TSP_NO DATA,TSP COM CMD NG,UST115,1,,1
TSP Operation Fail,TSP Operation Fail,TSP COM CMD NG,UST115,1,,1
TSP Abs Over ERROR,TSP Abs Over ERROR,TSP COM CMD NG,UST115,1,,1
TSP Abs Over,TSP Abs Over,TSP COM CMD NG,UST115,1,,1
TSP REF ALL,TSP REF ALL,TSP CM ALL,UST94,1,,1
TSP CM ALL ,TSP CM ALL ,TSP CM ALL,UST94,1,,1
TSP JIT ALL ,TSP JIT ALL ,TSP CM JITTER,UST97,1,,1
TSP NOH ALL ,TSP NOH ALL ,TSP CM ALL,UST94,1,,1
TSP NOL ALL ,TSP NOL ALL ,TSP CM ALL,UST94,1,,1
TSP SEN ALL ,TSP SEN ALL ,TSP CM ALL,UST94,1,,1
TSP CMS ALL ,TSP CMS ALL ,TSP CM ALL,UST94,1,,1
TSP CMR ALL ,TSP CMR ALL ,TSP CM ALL,UST94,1,,1
TSP CS ALL ,TSP CS ALL ,TSP CM ALL,UST94,1,,1
TSP CSR ALL ,TSP CSR ALL ,TSP CM ALL,UST94,1,,1
TSP COM CMD NG,TSP COM CMD NG,TSP COM CMD NG,UST115,1,,1
TSP COM CMD NG ,TSP COM CMD NG ,TSP COM CMD NG,UST115,1,,1
TSP Lami A/M,TSP Lami A/M,TSP Lami A/M,USM9,1,,1
TSP CB Tx Open,TSP CB Tx Open,WINKEY FAIL,UST120,1,,1
TSP REF KEY MAX,TSP REF KEY MAX,WINKEY FAIL,UST120,1,,1
TSP REF KEY MIN,TSP REF KEY MIN,WINKEY FAIL,UST120,1,,1
TSP_KEY KRD M/M,TSP_KEY KRD M/M,WINKEY FAIL,UST120,1,,1
TSP_KEY KJD M/M,TSP_KEY KJD M/M,WINKEY FAIL,UST120,1,,1
TSP_KEY KCX2 M/M,TSP_KEY KCX2 M/M,WINKEY FAIL,UST120,1,,1
TSP COM INT ,TSP COM INT ,TSP COM INT NG,UST112,1,,1
TSP INT PIN,TSP INT PIN,TSP COM INT NG,UST112,1,,1
TSP INIT fail!,TSP INIT fail!,TSP COM INT NG,UST112,1,,1
INT PIN,INT PIN,TSP COM INT NG,UST112,1,,1
INT LOW ERR,INT LOW ERR,TSP COM INT NG,UST112,1,,1
INT HIGH ERR,INT HIGH ERR,TSP COM INT NG,UST112,1,,1
INT LOW CHECK NG,INT LOW CHECK NG,TSP COM INT NG,UST112,1,,1
TSP INT,TSP INT,TSP COM INT NG,UST112,1,,1
EXT3 PIN,EXT3 PIN,TSP COM INT NG,UST112,1,,1
Cypress TMA44X PWC Fail!,Cypress TMA44X PWC Fail!,TSP COM CMD NG,UST115,1,,1
Cypress TMA44X PWC Fail,Cypress TMA44X PWC Fail,TSP COM CMD NG,UST115,1,,1
INT PIN(L) CHECK NG,INT PIN(L) CHECK NG,TSP COM INT NG,UST112,1,,1
INT PIN(H) CHECK NG,INT PIN(H) CHECK NG,TSP COM INT NG,UST112,1,,1
INTERRUPT CHECK FAIL,INTERRUPT CHECK FAIL,TSP COM INT NG,UST112,1,,1
Cypress Initial Fail!,Cypress Initial Fail!,TSP COM CMD NG,UST115,1,,1
INT PIN (,INT PIN (,TSP COM INT NG,UST112,1,,1
RESET PIN NG,RESET PIN NG,TSP COM INT NG,UST112,1,,1
INT PIN ,INT PIN ,TSP COM INT NG,UST112,1,,1
TSP COM INT,TSP COM INT,TSP COM INT NG,UST112,1,,1
TSP COM INT NG,TSP COM INT NG,TSP COM INT NG,UST112,1,,1
TSP COM INT NG ,TSP COM INT NG ,TSP COM INT NG,UST112,1,,1
TSP SELF NG ,TSP SELF NG ,TSP SELF FAIL,UST107,1,,1
TSP IC,TSP IC,TSP COM CMD NG,UST115,1,,1
I2C Reads Fail,I2C Reads Fail,TSP COM I2C FAIL,UST110,1,,1
I2C Reads Fail!,I2C Reads Fail!,TSP COM I2C FAIL,UST110,1,,1
I2C Read Fail,I2C Read Fail,TSP COM I2C FAIL,UST110,1,,1
I2C Write Fail!,I2C Write Fail!,TSP COM I2C FAIL,UST110,1,,1
I2C Write Fail,I2C Write Fail,TSP COM I2C FAIL,UST110,1,,1
ITO FORCE_OPEN FAIL!!,ITO FORCE_OPEN FAIL!!,TSP SELF FAIL,UST107,1,,1
